371,GTArcade,https://www.freetogame.com/open/league-angels-2,MMORPG,Web Browser,GTArcade,2016-04-06 02:00:00,A free to play browser MMORPG that captures all the beauty and elegance of its predecessor.,https://www.freetogame.com/g/371/thumbnail.jpg,League of Angels 2
243,Daybreak Games,https://www.freetogame.com/open/planetside-2,Shooter,PC (Windows),Daybreak Games,2012-11-21 01:00:00,A free-to-play open-world FPS that pits three factions against each other in a never-ending war.,https://www.freetogame.com/g/243/thumbnail.jpg,PlanetSide 2
125,Atom Republic,https://www.freetogame.com/open/atom-universe,Social,PC (Windows),Atom Republic,2016-02-27 01:00:00,A free-to-play multiplayer online social Virtual World set in a theme park.,https://www.freetogame.com/g/125/thumbnail.jpg,Atom Universe
304,ESTsoft,https://www.freetogame.com/open/cabal-online,MMORPG,PC (Windows),ESTsoft,2016-02-17 01:00:00,A free to play fast-paced skill-based MMORPG in a stunning world!,https://www.freetogame.com/g/304/thumbnail.jpg,Cabal Online
128,Dream Reactor,https://www.freetogame.com/open/spellweaver,Card Game,PC (Windows),Dream Reactor,2016-02-02 01:00:00,"A free-to-play multiplayer online collectible card 
game that requires deep strategic and 
thinking.",https://www.freetogame.com/g/128/thumbnail.jpg,Spellweaver
134,Rocketeer Games,https://www.freetogame.com/open/wt3,Shooter,PC (Windows),Rocketeer Games,2015-12-23 01:00:00,"A MMO shooter with infantry, vehicle, and air combat across massive maps! ",https://www.freetogame.com/g/134/thumbnail.jpg,War Trigger 3
136,KIXEYE,https://www.freetogame.com/open/vega-conflict,Strategy,PC (Windows),KIXEYE,2015-12-15 01:00:00,A Cross-Platform free to play 2D sci-fi strategy MMO.,https://www.freetogame.com/g/136/thumbnail.jpg,VEGA Conflict
92,SkyReacher Entertainment,https://www.freetogame.com/open/one-tower,MOBA,PC (Windows),SkyReacher Entertainment,2016-11-11 01:00:00,"A unique 1v1 MOBA known as a '"micro-moba'" developed and published by SkyReacher following a successful Kickstarter. ",https://www.freetogame.com/g/92/thumbnail.jpg,One Tower
88,"Cygames, Inc.",https://www.freetogame.com/open/shadowverse,Card Game,PC (Windows),"Cygames, Inc.",2016-10-28 02:00:00,A free-to-play strategic CCG developed and published by Cygamesm the creators of Rage of Bahamut and Granblu Fantasy. ,https://www.freetogame.com/g/88/thumbnail.jpg,Shadowverse
540,Blizzard Entertainment,https://www.freetogame.com/open/overwatch-2,Shooter,PC (Windows),Activision Blizzard,2022-10-04 02:00:00,A hero-focused first-person team shooter from Blizzard Entertainment.,https://www.freetogame.com/g/540/thumbnail.jpg,Overwatch 2
